
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x07","0x08","0x0A","0x0C","0x0E","0x10","0x2C","0x35","0x51","0x52","0x53","0x54","0x55","0x58","0x59","0x5A","0x61","0x62","0x64","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x93","0x9C","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104"
"","","","Opcode >","PUSH0","PUSHBYTES1","2","3","4","5","7","8","10","12","14","16","44","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH8","PUSH9","PUSH10","NOP","JMP","JMPIFNOT","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","ADD","NUMEQUAL","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Log","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put"
"","","","v Stmt Opcode Tally / Opcode Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.1","1"
"lab1_log.cs","10","        {","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"lab1_log.cs","11","            Runtime.Log(''Hello world!'');","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"lab1_log.cs","12","        }","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab2_logandnotify.cs","8","        {","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"lab2_logandnotify.cs","10","            Runtime.Log(''log 1'');","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"lab2_logandnotify.cs","11","            Runtime.Log(''log 2'');","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"lab2_logandnotify.cs","12","            Runtime.Notify(''notify 3'');","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0"
"lab2_logandnotify.cs","15","            int ten = 10;","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab2_logandnotify.cs","16","            Runtime.Notify(''ten'', ten);","18","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","3","0","0","0","0","0","0","1","3","1","0","1","0","0","0"
"lab2_logandnotify.cs","18","            object[] results = { ''a'', 1, 2, ''3'' };","25","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","1","0","0","0","0","1","0","0","0","1","1","0","0","5","1","0","0","0","0","0","0","4","1","0","0","0","0","0"
"lab2_logandnotify.cs","19","            Runtime.Notify(''results'', results);","18","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","3","0","0","0","0","0","0","1","3","1","0","1","0","0","0"
"lab2_logandnotify.cs","21","            User e1 = new User { FirstName = ''Able'', LastName = ''Baker'' };","20","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","2","0","0","0","1","1","0","0","3","1","2","0","0","0","0","0","2","1","0","0","0","0","0"
"lab2_logandnotify.cs","22","            Runtime.Notify(''e1'', e1);","18","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","1","1","1","0","0","3","0","0","0","0","0","0","1","3","1","0","1","0","0","0"
"lab2_logandnotify.cs","23","            User e2 = new User { FirstName = ''Charlie'', LastName = ''Delta'' };","20","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","2","0","0","0","1","1","0","0","3","1","2","0","0","0","0","0","2","1","0","0","0","0","0"
"lab2_logandnotify.cs","24","            User[] userEntities = { e1, e2 };","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","1","0","0","0","0","0","0","0","0","3","3","0","0","5","1","0","0","0","0","0","2","3","1","0","0","0","0","0"
"lab2_logandnotify.cs","25","            Runtime.Notify(''userEntities'', userEntities);","18","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","1","0","0","3","0","0","0","0","0","0","1","3","1","0","1","0","0","0"
"lab2_logandnotify.cs","26","        }","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","10","        {","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"lab3_storage.cs","12","            StorageContext ctx = Storage.CurrentContext;","80","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","16","0","0","8","8","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","8","0","0"
"lab3_storage.cs","14","            string item_key = ''test-storage-key'';","64","0","0","0","0","0","0","0","0","0","0","0","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","8","8","0","0","8","8","0","0","0","0","0","0","8","0","0","0","0","0","0"
"lab3_storage.cs","15","            Runtime.Notify(''item_key'', item_key);","144","8","0","0","0","0","0","0","8","0","0","0","0","0","0","16","8","0","0","0","0","0","0","8","0","0","8","8","8","0","0","24","0","0","0","0","0","0","8","24","8","0","8","0","0","0"
"lab3_storage.cs","18","            BigInteger item_value = Storage.Get(ctx, item_key).AsBigInteger();","168","8","0","0","0","0","0","0","0","0","0","0","0","0","0","8","16","0","0","0","0","0","0","16","0","0","8","24","24","0","0","24","8","8","0","0","0","0","16","0","0","0","0","0","8","0"
