
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x05","0x06","0x08","0x0C","0x0E","0x35","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104","0x105"
"","","","Opcode >","PUSH0","PUSHBYTES1","5","6","8","12","14","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put","Runtime.CheckWitness","Storage.Delete"
"","","","v Stmt Opcode Tally / Opcode Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.1","1","0.2","0.001"
"lab5_domain.cs","18","        {","108","6","0","0","0","0","0","0","0","6","12","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","6","0","18","12","0","0","12","12","0","0","0","0","0","0","12","6","0","0","0","0","0","0"
"lab5_domain.cs","19","            object result = false; // = 0 (zero)","48","6","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","6","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","21","            if (args.Length == 0)","126","6","0","0","0","0","0","0","0","6","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","18","0","0","18","6","0","0","6","0","6","12","12","0","0","0","0","0","0","0"
"lab5_domain.cs","27","            {","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","28","                string domain_name = (string)args[0];","84","6","0","0","0","0","0","0","0","6","6","0","6","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","12","12","0","0","12","6","0","0","0","0","0","12","0","0","0","0","0","0","0","0"
"lab5_domain.cs","29","                if (operation == ''query'')","120","6","0","6","0","0","0","0","0","0","6","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","18","0","0","18","6","0","6","0","0","0","12","12","0","0","0","0","0","0","0"
"lab5_domain.cs","33","                else if (operation == ''delete'')","120","6","0","0","6","0","0","0","0","0","6","0","0","0","12","0","0","0","0","0","0","0","0","0","0","6","0","0","18","18","0","0","18","6","0","6","0","0","0","12","6","0","0","0","0","0","0","0"
"lab5_domain.cs","34","                {","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
